"timestamp","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.WAP","SPY.hasGaps","SPY.Count"
"2022-01-04 17:00:00",477.63,477.99,476.42,477.49,62328,477.142,0,38398
"2022-01-04 18:00:00",477.47,477.95,476.71,476.83,32103,477.388,0,21179
"2022-01-04 19:00:00",476.81,477.33,475.58,475.72,35477,476.448,0,22628
"2022-01-04 20:00:00",475.72,477.57,475.67,477.42,56361,476.712,0,38067
"2022-01-04 21:00:00",477.42,478.96,477.38,477.51,132721,478.15,0,79913
"2022-01-05 15:30:00",477.16,477.66,476.13,477.21,55250,476.909,0,33332
"2022-01-05 16:00:00",477.22,477.98,476.75,477.31,52089,477.273,0,35745
"2022-01-05 17:00:00",477.31,477.4,476.3,476.56,39634,476.798,0,28977
"2022-01-05 18:00:00",476.54,477.25,475.87,475.95,49588,476.585,0,33271
"2022-01-05 19:00:00",475.94,476.14,475.3,475.85,45264,475.785,0,28973
"2022-01-05 20:00:00",475.84,476.91,471.11,471.69,166025,473.312,0,100828
"2022-01-05 21:00:00",471.7,471.7,468.28,468.38,253727,470.07,0,147295
"2022-01-06 15:30:00",467.89,470.4,466.81,467.05,91711,468.765,0,55617
"2022-01-06 16:00:00",467.04,469.72,465.43,468.72,142364,467.683,0,90941
"2022-01-06 17:00:00",468.74,469.99,468.03,469.22,76446,468.822,0,46185
"2022-01-06 18:00:00",469.22,470.82,468.69,469.56,59861,469.692,0,34985
"2022-01-06 19:00:00",469.56,469.98,468.4,469.07,44998,469.05,0,28813
"2022-01-06 20:00:00",469.07,469.68,468.28,469.42,56792,468.961,0,38392
"2022-01-06 21:00:00",469.39,470.18,467.09,467.93,137823,468.26,0,83747
"2022-01-07 15:30:00",467.95,469.2,466.73,468.64,77083,468.059,0,43855
"2022-01-07 16:00:00",468.65,468.78,464.65,465.25,101509,466.542,0,58363
"2022-01-07 17:00:00",465.27,468.09,464.68,467.66,93508,466.143,0,56525
"2022-01-07 18:00:00",467.66,467.81,466.47,467.26,44075,467.16,0,26370
"2022-01-07 19:00:00",467.26,467.69,466.59,466.91,36555,467.197,0,22029
"2022-01-07 20:00:00",466.91,467.73,466.1,467.47,60141,466.965,0,33197
"2022-01-07 21:00:00",467.47,467.98,465.92,466.12,119753,466.9,0,62443
"2022-01-10 15:30:00",462.7,463.02,459.01,459.36,106321,460.867,0,57708
"2022-01-10 16:00:00",459.34,459.58,456.59,457.79,163080,457.988,0,89995
"2022-01-10 17:00:00",457.77,460.18,457.08,459.48,108641,458.967,0,61640
"2022-01-10 18:00:00",459.47,460.18,457.95,459.23,80559,458.714,0,45500
"2022-01-10 19:00:00",459.24,462.18,459.09,461.88,93924,460.581,0,54683
"2022-01-10 20:00:00",461.89,463.87,461.67,462.96,88390,462.862,0,53510
